contract,duration,entry_execution_bar_ohlc,entry_execution_price,entry_execution_timestamp,entry_signal_bar_ohlc,entry_signal_id,entry_signal_timestamp,entry_trigger_price,exit_bar_ohlc,exit_execution_price,exit_execution_timestamp,exit_reason,exit_signal_id,exit_signal_timestamp,exit_type,fees,gross_pnl,metal,net_pnl,side,status,stop_loss,strategy_id,trade_id
569003 OCT,27000.0,"{""open"": 77986.11, ""high"": 78002.41, ""low"": 77982.24, ""close"": 77999.31}",77986.11,2026-09-04 14:30:00,"{""open"": 77983.1, ""high"": 77998.49, ""low"": 77981.42, ""close"": 77994.79}",SIG-gold_02-000135,2026-09-04T13:45:00,77998.49,"{""open"": 78003.55, ""high"": 78008.11, ""low"": 77998.55, ""close"": 78006.43}",78003.55,2026-09-04T22:00:00,REVERSAL,SIG-gold_02-000167,2026-09-04T21:45:00,EXIT_LONG,174.9,174.40000000002328,GOLDM,-0.4999999999767226,LONG,CLOSED,77971.33,gold_02,TRD-gold_02-000005
569003 OCT,1800.0,"{""open"": 77999.91, ""high"": 78008.55, ""low"": 77992.36, ""close"": 78001.23}",77999.91,2026-09-04 22:45:00,"{""open"": 78004.59, ""high"": 78005.85, ""low"": 77995.27, ""close"": 77999.17}",SIG-gold_02-000170,2026-09-04T22:30:00,77995.27,"{""open"": 78004.26, ""high"": 78015.1, ""low"": 78001.83, ""close"": 78004.12}",78004.12,2026-09-04T23:15:00,STOP_LOSS,,,EXIT_SHORT,174.9,-42.09999999991851,GOLDM,-216.99999999991851,SHORT,CLOSED,78011.84,gold_02,TRD-gold_02-000006
483080 Nov,1800.0,"{""open"": 238952.97, ""high"": 239004.15, ""low"": 238878.34, ""close"": 238912.05}",238952.97,2026-09-02 11:15:00,"{""open"": 239038.21, ""high"": 239054.23, ""low"": 238900.6, ""close"": 238950.97}",SIG-silver_01-000007,2026-09-02T10:45:00,238900.6,"{""open"": 239023.83, ""high"": 239180.57, ""low"": 238984.3, ""close"": 239145.21}",239145.21,2026-09-02T11:45:00,STOP_LOSS,,,EXIT_SHORT,242.84,-961.1999999999534,SILVERM,-1204.0399999999534,SHORT,CLOSED,239074.84,silver_01,TRD-silver_01-000001
483080 Nov,92700.0,"{""open"": 239106.56, ""high"": 239138.92, ""low"": 238926.85, ""close"": 238972.91}",239106.56,2026-09-02 17:45:00,"{""open"": 239261.98, ""high"": 239284.01, ""low"": 239124.16, ""close"": 239129.2}",SIG-silver_01-000034,2026-09-02T17:30:00,239124.16,"{""open"": 238720.97, ""high"": 238926.24, ""low"": 238697.36, ""close"": 238911.98}",238720.97,2026-09-03T19:30:00,REVERSAL,SIG-silver_01-000099,2026-09-03T19:15:00,EXIT_SHORT,242.87,1927.9499999999825,SILVERM,1685.0799999999826,SHORT,CLOSED,239424.42,silver_01,TRD-silver_01-000002
483080 Nov,11700.0,"{""open"": 238720.97, ""high"": 238926.24, ""low"": 238697.36, ""close"": 238911.98}",238720.97,2026-09-03 19:30:00,"{""open"": 238614.81, ""high"": 238759.61, ""low"": 238578.64, ""close"": 238720.46}",SIG-silver_01-000099,2026-09-03T19:15:00,238759.61,"{""open"": 238705.66, ""high"": 238740.35, ""low"": 238578.91, ""close"": 238718.53}",238705.66,2026-09-03T22:45:00,REVERSAL,SIG-silver_01-000112,2026-09-03T22:30:00,EXIT_LONG,242.61,-76.54999999998836,SILVERM,-319.1599999999884,LONG,CLOSED,238474.62,silver_01,TRD-silver_01-000003
483080 Nov,36900.0,"{""open"": 238705.66, ""high"": 238740.35, ""low"": 238578.91, ""close"": 238718.53}",238705.66,2026-09-03 22:45:00,"{""open"": 238809.55, ""high"": 238843.04, ""low"": 238659.65, ""close"": 238690.24}",SIG-silver_01-000112,2026-09-03T22:30:00,238659.65,"{""open"": 238741.8, ""high"": 238880.05, ""low"": 238721.31, ""close"": 238855.07}",238855.07,2026-09-04T09:00:00,STOP_LOSS,,,EXIT_SHORT,242.63,-747.0500000000175,SILVERM,-989.6800000000175,SHORT,CLOSED,238843.04,silver_01,TRD-silver_01-000004
483080 Nov,17100.0,"{""open"": 238728.15, ""high"": 238736.53, ""low"": 238617.89, ""close"": 238648.15}",238728.15,2026-09-04 13:45:00,"{""open"": 238843.9, ""high"": 238869.26, ""low"": 238716.91, ""close"": 238734.36}",SIG-silver_01-000134,2026-09-04T13:30:00,238716.91,"{""open"": 238750.19, ""high"": 238800.94, ""low"": 238685.11, ""close"": 238786.03}",238750.19,2026-09-04T18:30:00,REVERSAL,SIG-silver_01-000153,2026-09-04T18:15:00,EXIT_SHORT,242.63,-110.20000000004075,SILVERM,-352.83000000004074,SHORT,CLOSED,238954.0,silver_01,TRD-silver_01-000005
483080 Nov,,"{""open"": 238750.19, ""high"": 238800.94, ""low"": 238685.11, ""close"": 238786.03}",238750.19,2026-09-04 18:30:00,"{""open"": 238685.27, ""high"": 238793.6, ""low"": 238674.17, ""close"": 238759.93}",SIG-silver_01-000153,2026-09-04T18:15:00,238793.6,,,,,,,,,,SILVERM,,LONG,OPEN,238649.39,silver_01,TRD-silver_01-000006
483080 Nov,1800.0,"{""open"": 238952.97, ""high"": 238965.96, ""low"": 238926.04, ""close"": 238959.87}",238952.97,2026-09-02 11:15:00,"{""open"": 239006.53, ""high"": 239042.62, ""low"": 238955.93, ""close"": 238960.83}",SIG-silver_02-000026,2026-09-02T11:10:00,238955.93,"{""open"": 239023.83, ""high"": 239078.63, ""low"": 238984.3, ""close"": 239061.18}",239061.18,2026-09-02T11:45:00,STOP_LOSS,,,EXIT_SHORT,242.82,-541.0499999999593,SILVERM,-783.8699999999592,SHORT,CLOSED,239042.62,silver_02,TRD-silver_02-000001
483080 Nov,92700.0,"{""open"": 239188.48, ""high"": 239200.02, ""low"": 239130.57, ""close"": 239165.48}",239188.48,2026-09-02 17:35:00,"{""open"": 239261.98, ""high"": 239284.01, ""low"": 239180.47, ""close"": 239192.28}",SIG-silver_02-000102,2026-09-02T17:30:00,239180.47,"{""open"": 238650.88, ""high"": 238693.05, ""low"": 238622.38, ""close"": 238674.41}",238650.88,2026-09-03T19:20:00,REVERSAL,SIG-silver_02-000297,2026-09-03T19:15:00,EXIT_SHORT,242.91,2688.000000000029,SILVERM,2445.0900000000292,SHORT,CLOSED,239323.69,silver_02,TRD-silver_02-000002
483080 Nov,12000.0,"{""open"": 238650.88, ""high"": 238693.05, ""low"": 238622.38, ""close"": 238674.41}",238650.88,2026-09-03 19:20:00,"{""open"": 238614.81, ""high"": 238659.85, ""low"": 238578.64, ""close"": 238637.27}",SIG-silver_02-000297,2026-09-03T19:15:00,238659.85,"{""open"": 238717.22, ""high"": 238727.4, ""low"": 238659.65, ""close"": 238690.24}",238717.22,2026-09-03T22:40:00,REVERSAL,SIG-silver_02-000337,2026-09-03T22:35:00,EXIT_LONG,242.6,331.69999999998254,SILVERM,89.09999999998254,LONG,CLOSED,238574.25,silver_02,TRD-silver_02-000003
483080 Nov,37800.0,"{""open"": 238717.22, ""high"": 238727.4, ""low"": 238659.65, ""close"": 238690.24}",238717.22,2026-09-03 22:40:00,"{""open"": 238742.05, ""high"": 238769.04, ""low"": 238695.31, ""close"": 238731.73}",SIG-silver_02-000337,2026-09-03T22:35:00,238695.31,"{""open"": 238828.64, ""high"": 238880.05, ""low"": 238788.77, ""close"": 238855.07}",238855.07,2026-09-04T09:10:00,STOP_LOSS,,,EXIT_SHORT,242.64,-689.2500000000291,SILVERM,-931.8900000000291,SHORT,CLOSED,238843.04,silver_02,TRD-silver_02-000004
483080 Nov,17100.0,"{""open"": 238728.15, ""high"": 238736.53, ""low"": 238683.26, ""close"": 238701.39}",238728.15,2026-09-04 13:45:00,"{""open"": 238782.34, ""high"": 238794.45, ""low"": 238716.91, ""close"": 238747.52}",SIG-silver_02-000403,2026-09-04T13:35:00,238716.91,"{""open"": 238750.19, ""high"": 238772.74, ""low"": 238720.08, ""close"": 238729.64}",238750.19,2026-09-04T18:30:00,REVERSAL,SIG-silver_02-000461,2026-09-04T18:25:00,EXIT_SHORT,242.63,-110.20000000004075,SILVERM,-352.83000000004074,SHORT,CLOSED,238869.26,silver_02,TRD-silver_02-000005
483080 Nov,600.0,"{""open"": 238758.28, ""high"": 238800.94, ""low"": 238724.23, ""close"": 238786.03}",238758.28,2026-09-04 18:40:00,"{""open"": 238713.59, ""high"": 238789.91, ""low"": 238685.11, ""close"": 238774.49}",SIG-silver_02-000463,2026-09-04T18:35:00,238789.91,"{""open"": 238740.73, ""high"": 238746.88, ""low"": 238676.05, ""close"": 238689.81}",238689.81,2026-09-04T18:50:00,STOP_LOSS,,,EXIT_LONG,242.6,-342.3500000000058,SILVERM,-584.9500000000058,LONG,CLOSED,238685.11,silver_02,TRD-silver_02-000006
483080 Nov,1800.0,"{""open"": 238760.31, ""high"": 238800.54, ""low"": 238735.79, ""close"": 238765.16}",238760.31,2026-09-04 19:10:00,"{""open"": 238727.61, ""high"": 238780.64, ""low"": 238704.95, ""close"": 238764.49}",SIG-silver_02-000469,2026-09-04T19:05:00,238780.64,"{""open"": 238794.1, ""high"": 238808.0, ""low"": 238696.71, ""close"": 238705.56}",238705.56,2026-09-04T19:40:00,STOP_LOSS,,,EXIT_LONG,242.61,-273.75,SILVERM,-516.36,LONG,CLOSED,238704.95,silver_02,TRD-silver_02-000007
483080 Nov,,"{""open"": 238801.68, ""high"": 238855.1, ""low"": 238788.29, ""close"": 238821.12}",238801.68,2026-09-04 19:55:00,"{""open"": 238737.64, ""high"": 238814.35, ""low"": 238724.06, ""close"": 238781.58}",SIG-silver_02-000478,2026-09-04T19:50:00,238814.35,,,,,,,,,,SILVERM,,LONG,OPEN,238685.94,silver_02,TRD-silver_02-000008
